edge_gpu,rtt_ms,bw_mbps,k_passages,ttft_p0_ms,ttft_p1_ms,ttft_p2_ms,ttft_p2_sphp_ms,ttft_p3_ms,sphp_speedup_pct,optimal_topology
True,0,0.25,1,2300.3,502.3,2302.6,2274.3,2340.7,1.2,P1
True,0,0.25,5,2493.0,695.1,2496.3,2352.0,2687.1,5.8,P1
True,0,0.25,10,2733.9,936.0,2738.5,2449.1,3120.0,10.6,P1
True,0,0.25,20,3215.7,1417.8,3222.9,2643.2,3985.8,18.0,P1
True,0,1,1,2300.3,500.8,2300.9,2272.6,2310.4,1.2,P1
True,0,1,5,2493.0,693.5,2493.9,2349.5,2541.5,5.8,P1
True,0,1,10,2733.9,934.4,2735.1,2445.6,2830.4,10.6,P1
True,0,1,20,3215.7,1416.2,3217.5,2637.9,3408.2,18.0,P1
True,0,2,1,2300.3,500.6,2300.6,2272.3,2305.4,1.2,P1
True,0,2,5,2493.0,693.3,2493.4,2349.1,2517.3,5.8,P1
True,0,2,10,2733.9,934.2,2734.5,2445.0,2782.2,10.6,P1
True,0,2,20,3215.7,1416.0,3216.6,2637.0,3312.0,18.0,P1
True,0,10,1,2300.3,500.4,2300.4,2272.1,2301.3,1.2,P1
True,0,10,5,2493.0,693.1,2493.1,2348.7,2497.9,5.8,P1
True,0,10,10,2733.9,934.0,2734.0,2444.6,2743.6,10.6,P1
True,0,10,20,3215.7,1415.8,3215.9,2636.2,3235.0,18.0,P1
True,0,50,1,2300.3,500.3,2300.3,2272.0,2300.5,1.2,P1
True,0,50,5,2493.0,693.0,2493.0,2348.7,2494.0,5.8,P1
True,0,50,10,2733.9,933.9,2733.9,2444.5,2735.9,10.6,P1
True,0,50,20,3215.7,1415.7,3215.8,2636.1,3219.6,18.0,P1
True,0,100,1,2300.3,500.3,2300.3,2272.0,2300.4,1.2,P1
True,0,100,5,2493.0,693.0,2493.0,2348.7,2493.5,5.8,P1
True,0,100,10,2733.9,933.9,2733.9,2444.5,2734.9,10.6,P1
True,0,100,20,3215.7,1415.7,3215.7,2636.1,3217.6,18.0,P1
True,0,500,1,2300.3,500.3,2300.3,2272.0,2300.3,1.2,P1
True,0,500,5,2493.0,693.0,2493.0,2348.7,2493.1,5.8,P1
True,0,500,10,2733.9,933.9,2733.9,2444.5,2734.1,10.6,P1
True,0,500,20,3215.7,1415.7,3215.7,2636.1,3216.1,18.0,P1
True,0,1000,1,2300.3,500.3,2300.3,2272.0,2300.3,1.2,P1
True,0,1000,5,2493.0,693.0,2493.0,2348.7,2493.1,5.8,P1
True,0,1000,10,2733.9,933.9,2733.9,2444.5,2734.0,10.6,P1
True,0,1000,20,3215.7,1415.7,3215.7,2636.1,3215.9,18.0,P1
True,10,0.25,1,2300.3,507.3,2307.6,2279.3,2345.7,1.2,P1
True,10,0.25,5,2493.0,700.1,2501.3,2357.0,2692.1,5.8,P1
True,10,0.25,10,2733.9,941.0,2743.5,2454.1,3125.0,10.6,P1
True,10,0.25,20,3215.7,1422.8,3227.9,2648.2,3990.8,18.0,P1
True,10,1,1,2300.3,505.8,2305.9,2277.6,2315.4,1.2,P1
True,10,1,5,2493.0,698.5,2498.9,2354.5,2546.5,5.8,P1
True,10,1,10,2733.9,939.4,2740.1,2450.6,2835.4,10.6,P1
True,10,1,20,3215.7,1421.2,3222.5,2642.9,3413.2,18.0,P1
True,10,2,1,2300.3,505.6,2305.6,2277.3,2310.4,1.2,P1
True,10,2,5,2493.0,698.3,2498.4,2354.1,2522.3,5.8,P1
True,10,2,10,2733.9,939.2,2739.5,2450.0,2787.2,10.6,P1
True,10,2,20,3215.7,1421.0,3221.6,2642.0,3317.0,18.0,P1
True,10,10,1,2300.3,505.4,2305.4,2277.1,2306.3,1.2,P1
True,10,10,5,2493.0,698.1,2498.1,2353.7,2502.9,5.8,P1
True,10,10,10,2733.9,939.0,2739.0,2449.6,2748.6,10.6,P1
True,10,10,20,3215.7,1420.8,3220.9,2641.2,3240.0,18.0,P1
True,10,50,1,2300.3,505.3,2305.3,2277.0,2305.5,1.2,P1
True,10,50,5,2493.0,698.0,2498.0,2353.7,2499.0,5.8,P1
True,10,50,10,2733.9,938.9,2738.9,2449.5,2740.9,10.6,P1
True,10,50,20,3215.7,1420.7,3220.8,2641.1,3224.6,18.0,P1
True,10,100,1,2300.3,505.3,2305.3,2277.0,2305.4,1.2,P1
True,10,100,5,2493.0,698.0,2498.0,2353.7,2498.5,5.8,P1
True,10,100,10,2733.9,938.9,2738.9,2449.5,2739.9,10.6,P1
True,10,100,20,3215.7,1420.7,3220.7,2641.1,3222.6,18.0,P1
True,10,500,1,2300.3,505.3,2305.3,2277.0,2305.3,1.2,P1
True,10,500,5,2493.0,698.0,2498.0,2353.7,2498.1,5.8,P1
True,10,500,10,2733.9,938.9,2738.9,2449.5,2739.1,10.6,P1
True,10,500,20,3215.7,1420.7,3220.7,2641.1,3221.1,18.0,P1
True,10,1000,1,2300.3,505.3,2305.3,2277.0,2305.3,1.2,P1
True,10,1000,5,2493.0,698.0,2498.0,2353.7,2498.1,5.8,P1
True,10,1000,10,2733.9,938.9,2738.9,2449.5,2739.0,10.6,P1
True,10,1000,20,3215.7,1420.7,3220.7,2641.1,3220.9,18.0,P1
True,25,0.25,1,2300.3,514.8,2315.1,2286.8,2353.2,1.2,P1
True,25,0.25,5,2493.0,707.6,2508.8,2364.5,2699.6,5.8,P1
True,25,0.25,10,2733.9,948.5,2751.0,2461.6,3132.5,10.5,P1
True,25,0.25,20,3215.7,1430.3,3235.4,2655.7,3998.3,17.9,P1
True,25,1,1,2300.3,513.3,2313.4,2285.1,2322.9,1.2,P1
True,25,1,5,2493.0,706.0,2506.4,2362.0,2554.0,5.8,P1
True,25,1,10,2733.9,946.9,2747.6,2458.1,2842.9,10.5,P1
True,25,1,20,3215.7,1428.7,3230.0,2650.4,3420.7,17.9,P1
True,25,2,1,2300.3,513.1,2313.1,2284.8,2317.9,1.2,P1
True,25,2,5,2493.0,705.8,2505.9,2361.6,2529.8,5.8,P1
True,25,2,10,2733.9,946.7,2747.0,2457.5,2794.7,10.5,P1
True,25,2,20,3215.7,1428.5,3229.1,2649.5,3324.5,18.0,P1
True,25,10,1,2300.3,512.9,2312.9,2284.6,2313.8,1.2,P1
True,25,10,5,2493.0,705.6,2505.6,2361.2,2510.4,5.8,P1
True,25,10,10,2733.9,946.5,2746.5,2457.1,2756.1,10.5,P1
True,25,10,20,3215.7,1428.3,3228.4,2648.7,3247.5,18.0,P1
True,25,50,1,2300.3,512.8,2312.8,2284.5,2313.0,1.2,P1
True,25,50,5,2493.0,705.5,2505.5,2361.2,2506.5,5.8,P1
True,25,50,10,2733.9,946.4,2746.4,2457.0,2748.4,10.5,P1
True,25,50,20,3215.7,1428.2,3228.3,2648.6,3232.1,18.0,P1
True,25,100,1,2300.3,512.8,2312.8,2284.5,2312.9,1.2,P1
True,25,100,5,2493.0,705.5,2505.5,2361.2,2506.0,5.8,P1
True,25,100,10,2733.9,946.4,2746.4,2457.0,2747.4,10.5,P1
True,25,100,20,3215.7,1428.2,3228.2,2648.6,3230.1,18.0,P1
True,25,500,1,2300.3,512.8,2312.8,2284.5,2312.8,1.2,P1
True,25,500,5,2493.0,705.5,2505.5,2361.2,2505.6,5.8,P1
True,25,500,10,2733.9,946.4,2746.4,2457.0,2746.6,10.5,P1
True,25,500,20,3215.7,1428.2,3228.2,2648.6,3228.6,18.0,P1
True,25,1000,1,2300.3,512.8,2312.8,2284.5,2312.8,1.2,P1
True,25,1000,5,2493.0,705.5,2505.5,2361.2,2505.6,5.8,P1
True,25,1000,10,2733.9,946.4,2746.4,2457.0,2746.5,10.5,P1
True,25,1000,20,3215.7,1428.2,3228.2,2648.6,3228.4,18.0,P1
True,50,0.25,1,2300.3,527.3,2327.6,2299.3,2365.7,1.2,P1
True,50,0.25,5,2493.0,720.1,2521.3,2377.0,2712.1,5.7,P1
True,50,0.25,10,2733.9,961.0,2763.5,2474.1,3145.0,10.5,P1
True,50,0.25,20,3215.7,1442.8,3247.9,2668.2,4010.8,17.8,P1
True,50,1,1,2300.3,525.8,2325.9,2297.6,2335.4,1.2,P1
True,50,1,5,2493.0,718.5,2518.9,2374.5,2566.5,5.7,P1
True,50,1,10,2733.9,959.4,2760.1,2470.6,2855.4,10.5,P1
True,50,1,20,3215.7,1441.2,3242.5,2662.9,3433.2,17.9,P1
True,50,2,1,2300.3,525.6,2325.6,2297.3,2330.4,1.2,P1
