rtt_ms,bw_mbps,cache_state,ttft_p0_ms,ttft_p2_ms,ttft_p2_sphp_ms,ttft_p3_ms,sphp_speedup_pct,optimal_topology
0,10,warm,825.5,825.6,759.1,830.3,8.1,P2-SPHP
0,50,warm,825.5,825.5,759.0,826.5,8.1,P2-SPHP
0,100,warm,825.5,825.5,759.0,826.0,8.1,P2-SPHP
0,500,warm,825.5,825.5,759.0,825.6,8.1,P2-SPHP
0,1000,warm,825.5,825.5,759.0,825.5,8.1,P2-SPHP
10,10,warm,825.5,830.6,764.1,835.3,8.0,P2-SPHP
10,50,warm,825.5,830.5,764.0,831.5,8.0,P2-SPHP
10,100,warm,825.5,830.5,764.0,831.0,8.0,P2-SPHP
10,500,warm,825.5,830.5,764.0,830.6,8.0,P2-SPHP
10,1000,warm,825.5,830.5,764.0,830.5,8.0,P2-SPHP
25,10,warm,825.5,838.1,771.6,842.8,7.9,P2-SPHP
25,50,warm,825.5,838.0,771.5,839.0,7.9,P2-SPHP
25,100,warm,825.5,838.0,771.5,838.5,7.9,P2-SPHP
25,500,warm,825.5,838.0,771.5,838.1,7.9,P2-SPHP
25,1000,warm,825.5,838.0,771.5,838.0,7.9,P2-SPHP
50,10,warm,825.5,850.6,784.1,855.3,7.8,P2-SPHP
50,50,warm,825.5,850.5,784.0,851.5,7.8,P2-SPHP
50,100,warm,825.5,850.5,784.0,851.0,7.8,P2-SPHP
50,500,warm,825.5,850.5,784.0,850.6,7.8,P2-SPHP
50,1000,warm,825.5,850.5,784.0,850.5,7.8,P2-SPHP
100,10,warm,825.5,875.6,809.1,880.3,7.6,P2-SPHP
100,50,warm,825.5,875.5,809.0,876.5,7.6,P2-SPHP
100,100,warm,825.5,875.5,809.0,876.0,7.6,P2-SPHP
100,500,warm,825.5,875.5,809.0,875.6,7.6,P2-SPHP
100,1000,warm,825.5,875.5,809.0,875.5,7.6,P2-SPHP
150,10,warm,825.5,900.6,834.1,905.3,7.4,P2-SPHP
150,50,warm,825.5,900.5,834.0,901.5,7.4,P2-SPHP
150,100,warm,825.5,900.5,834.0,901.0,7.4,P2-SPHP
150,500,warm,825.5,900.5,834.0,900.6,7.4,P2-SPHP
150,1000,warm,825.5,900.5,834.0,900.5,7.4,P2-SPHP
200,10,warm,825.5,925.6,859.1,930.3,7.2,P2-SPHP
200,50,warm,825.5,925.5,859.0,926.5,7.2,P2-SPHP
200,100,warm,825.5,925.5,859.0,926.0,7.2,P2-SPHP
200,500,warm,825.5,925.5,859.0,925.6,7.2,P2-SPHP
200,1000,warm,825.5,925.5,859.0,925.5,7.2,P2-SPHP
